epoch,poisonedCifar10(no defence)_Local_backdoor_cv_cifar10_resnet_snorm0.2_Baseline_Lr0.001_PLr0.003_TLr0.2_AttackNum250_EC0_SE1801_AllLayer1 - _step,patchedCifar10(no denfence)Local_backdoor_cv_cifar10_resnet_snorm0.2_Baseline_Lr0.001_PLr0.02_TLr0.2_AttackNum200_EC0_SE1801_AllLayer1 - test poison acc (after fedavg),poisonedCifar10(no defence)_Local_backdoor_cv_cifar10_resnet_snorm0.2_Baseline_Lr0.001_PLr0.003_TLr0.2_AttackNum250_EC0_SE1801_AllLayer1 - test poison acc (after fedavg)
2379,579,78.32031 ,90.23438 
2380,580,81.83594 ,89.64844 
2381,581,78.71094 ,92.18750 
2382,582,76.17188 ,91.01563 
2383,583,76.95313 ,89.45313 
2384,584,76.17188 ,89.06250 
2385,585,77.34375 ,89.64844 
2386,586,75.97656 ,92.38281 
2387,587,72.07031 ,91.40625 
2388,588,75.78125 ,90.82031 
2389,589,77.73438 ,89.84375 
2390,590,76.17188 ,90.03906 
2391,591,76.17188 ,90.42969 
2392,592,78.32031 ,90.03906 
2393,593,78.51563 ,91.60156 
2394,594,78.32031 ,91.79688 
2395,595,77.53906 ,88.47656 
2396,596,76.56250 ,93.35938 
2397,597,77.34375 ,86.32813 
2398,598,76.17188 ,91.40625 
2399,599,77.34375 ,91.21094 
2400,600,79.10156 ,88.86719 
2401,601,81.25000 ,90.23438 
2402,602,80.07813 ,91.79688 
2403,603,78.12500 ,91.79688 
2404,604,75.97656 ,90.62500 
2405,605,77.34375 ,86.91406 
2406,606,80.85938 ,89.45313 
2407,607,81.25000 ,88.08594 
2408,608,79.29688 ,89.84375 
2409,609,76.56250 ,92.38281 
2410,610,77.34375 ,92.96875 
2411,611,76.56250 ,92.18750 
2412,612,81.83594 ,91.01563 
2413,613,77.53906 ,91.60156 
2414,614,75.78125 ,91.40625 
2415,615,79.29688 ,85.93750 
2416,616,73.24219 ,88.28125 
2417,617,76.75781 ,90.62500 
2418,618,75.39063 ,90.03906 
2419,619,78.51563 ,88.28125 
2420,620,77.92969 ,89.45313 
2421,621,76.95313 ,89.45313 
2422,622,76.56250 ,89.84375 
2423,623,76.75781 ,89.64844 
2424,624,75.39063 ,90.42969 
2425,625,78.12500 ,90.23438 
2426,626,77.53906 ,91.40625 
2427,627,80.46875 ,92.57813 
2428,628,76.95313 ,91.99219 
2429,629,78.71094 ,88.28125 
2430,630,78.90625 ,86.13281 
2431,631,79.29688 ,81.83594 
2432,632,80.66406 ,87.10938 
2433,633,76.95313 ,86.71875 
2434,634,71.87500 ,88.47656 
2435,635,73.63281 ,86.52344 
2436,636,77.73438 ,86.71875 
2437,637,73.04688 ,86.71875 
2438,638,76.56250 ,89.06250 
2439,639,74.02344 ,89.84375 
2440,640,73.82813 ,83.78906 
2441,641,79.68750 ,86.13281 
2442,642,74.41406 ,88.67188 
2443,643,76.36719 ,87.10938 
2444,644,76.56250 ,89.06250 
2445,645,80.66406 ,87.10938 
2446,646,78.71094 ,88.08594 
2447,647,80.07813 ,86.32813 
2448,648,78.32031 ,85.15625 
2449,649,74.02344 ,88.86719 
2450,650,72.07031 ,89.25781 
2451,651,77.92969 ,89.64844 
2452,652,77.73438 ,91.01563 
2453,653,75.19531 ,90.23438 
2454,654,71.09375 ,89.06250 
2455,655,74.60938 ,89.45313 
2456,656,76.17188 ,93.16406 
2457,657,73.04688 ,90.62500 
2458,658,74.60938 ,92.18750 
2459,659,75.19531 ,89.64844 
2460,660,75.39063 ,88.67188 
2461,661,76.56250 ,90.62500 
2462,662,73.24219 ,90.62500 
2463,663,75.39063 ,87.69531 
2464,664,78.51563 ,91.01563 
2465,665,79.88281 ,88.47656 
2466,666,77.53906 ,84.37500 
2467,667,78.71094 ,87.50000 
2468,668,76.95313 ,90.03906 
2469,669,74.21875 ,83.98438 
2470,670,75.78125 ,87.10938 
2471,671,76.17188 ,88.28125 
2472,672,76.95313 ,89.84375 
2473,673,79.68750 ,90.23438 
2474,674,76.75781 ,86.32813 
2475,675,71.87500 ,86.32813 
2476,676,79.29688 ,89.06250 
2477,677,73.63281 ,87.69531 
2478,678,79.10156 ,89.06250 
2479,679,77.53906 ,89.64844 
2480,680,76.36719 ,90.62500 
2481,681,74.21875 ,86.32813 
2482,682,76.75781 ,86.91406 
2483,683,78.32031 ,91.01563 
2484,684,76.56250 ,92.18750 
2485,685,75.97656 ,90.03906 
2486,686,76.17188 ,89.45313 
2487,687,73.24219 ,88.28125 
2488,688,76.95313 ,89.06250 
2489,689,78.90625 ,88.67188 
2490,690,79.10156 ,87.10938 
2491,691,77.14844 ,88.86719 
2492,692,75.39063 ,92.96875 
2493,693,77.53906 ,89.45313 
2494,694,79.49219 ,86.91406 
2495,695,74.80469 ,88.28125 
2496,696,73.24219 ,87.69531 
2497,697,75.58594 ,88.67188 
2498,698,76.75781 ,90.03906 
2499,699,77.53906 ,89.84375 
2500,700,76.36719 ,88.47656 
2501,701,75.78125 ,85.15625 
2502,702,76.36719 ,91.99219 
2503,703,76.56250 ,89.45313 
2504,704,76.75781 ,88.86719 
2505,705,72.26563 ,87.50000 
2506,706,76.95313 ,90.42969 
2507,707,80.66406 ,85.54688 
2508,708,78.90625 ,82.22656 
2509,709,75.19531 ,85.54688 
2510,710,72.85156 ,83.98438 
2511,711,72.07031 ,89.84375 
2512,712,73.82813 ,88.28125 
2513,713,75.97656 ,88.86719 
2514,714,71.67969 ,90.03906 
2515,715,74.41406 ,88.67188 
2516,716,72.85156 ,89.06250 
2517,717,75.78125 ,89.64844 
2518,718,77.92969 ,86.32813 
2519,719,75.97656 ,85.54688 
2520,720,73.82813 ,88.47656 
2521,721,73.04688 ,89.25781 
2522,722,75.19531 ,88.28125 
2523,723,74.41406 ,86.91406 
2524,724,76.56250 ,89.64844 
2525,725,74.21875 ,88.47656 
2526,726,74.41406 ,85.54688 
2527,727,73.63281 ,85.35156 
2528,728,75.00000 ,87.10938 
2529,729,77.14844 ,88.86719 
2530,730,74.80469 ,89.06250 
2531,731,73.43750 ,88.08594 
2532,732,76.56250 ,88.47656 
2533,733,75.78125 ,86.71875 
2534,734,72.85156 ,85.74219 
2535,735,73.04688 ,81.83594 
2536,736,75.78125 ,86.91406 
2537,737,75.97656 ,85.93750 
2538,738,76.36719 ,87.10938 
2539,739,78.51563 ,87.50000 
2540,740,71.87500 ,85.93750 
2541,741,73.63281 ,88.86719 
2542,742,77.34375 ,87.50000 
2543,743,72.46094 ,86.32813 
2544,744,76.56250 ,87.89063 
2545,745,79.10156 ,84.57031 
2546,746,74.02344 ,83.98438 
2547,747,74.80469 ,87.10938 
2548,748,79.10156 ,88.47656 
2549,749,73.63281 ,88.47656 
2550,750,75.58594 ,87.50000 
2551,751,76.95313 ,91.01563 
2552,752,77.53906 ,88.67188 
2553,753,78.51563 ,88.67188 
2554,754,73.04688 ,89.25781 
2555,755,74.41406 ,85.74219 
2556,756,79.10156 ,91.99219 
2557,757,73.82813 ,86.91406 
2558,758,74.02344 ,88.67188 
2559,759,76.17188 ,85.54688 
2560,760,79.10156 ,86.91406 
2561,761,76.17188 ,85.74219 
2562,762,76.17188 ,89.84375 
2563,763,77.14844 ,90.23438 
2564,764,77.53906 ,90.03906 
2565,765,75.97656 ,91.01563 
2566,766,75.58594 ,86.13281 
2567,767,74.41406 ,85.93750 
2568,768,78.32031 ,86.71875 
2569,769,72.65625 ,87.30469 
2570,770,73.82813 ,88.28125 
2571,771,72.07031 ,88.47656 
2572,772,78.51563 ,86.13281 
2573,773,74.41406 ,89.84375 
2574,774,71.48438 ,91.01563 
2575,775,76.36719 ,90.23438 
2576,776,77.34375 ,88.67188 
2577,777,74.80469 ,86.91406 
2578,778,75.19531 ,87.30469 
2579,779,74.80469 ,81.44531 
2580,780,72.65625 ,86.91406 
2581,781,73.04688 ,90.42969 
2582,782,75.39063 ,86.71875 
2583,783,74.02344 ,88.28125 
2584,784,73.82813 ,88.28125 
2585,785,78.12500 ,87.30469 
2586,786,77.34375 ,88.86719 
2587,787,74.41406 ,88.28125 
2588,788,67.96875 ,85.93750 
2589,789,71.48438 ,87.10938 
2590,790,74.21875 ,83.39844 
2591,791,75.97656 ,84.96094 
2592,792,72.26563 ,88.86719 
2593,793,72.85156 ,89.45313 
2594,794,75.58594 ,90.82031 
2595,795,73.43750 ,91.01563 
2596,796,76.17188 ,87.69531 
2597,797,74.21875 ,87.10938 
2598,798,72.65625 ,84.96094 
2599,799,71.48438 ,88.86719 
2600,800,73.24219 ,87.10938 
2601,801,76.17188 ,85.54688 
2602,802,76.95313 ,87.89063 
2603,803,73.82813 ,90.82031 
2604,804,76.95313 ,88.28125 
2605,805,74.41406 ,88.28125 
2606,806,73.04688 ,86.71875 
2607,807,75.19531 ,88.86719 
2608,808,74.21875 ,86.52344 
2609,809,74.80469 ,88.67188 
2610,810,75.58594 ,91.99219 
2611,811,75.58594 ,87.69531 
2612,812,75.39063 ,87.89063 
2613,813,72.65625 ,90.03906 
2614,814,72.26563 ,86.71875 
2615,815,71.67969 ,87.10938 
2616,816,73.24219 ,89.06250 
2617,817,74.21875 ,88.86719 
2618,818,75.19531 ,89.64844 
2619,819,75.97656 ,89.84375 
2620,820,73.43750 ,91.01563 
2621,821,76.17188 ,81.83594 
2622,822,75.78125 ,89.06250 
2623,823,78.32031 ,89.25781 
2624,824,72.65625 ,90.03906 
2625,825,71.28906 ,90.03906 
2626,826,73.43750 ,83.00781 
2627,827,75.58594 ,84.17969 
2628,828,74.60938 ,89.25781 
2629,829,76.75781 ,85.35156 
2630,830,,87.50000 
2631,831,,86.13281 
2632,832,,87.69531 
2633,833,,86.71875 
2634,834,,91.21094 
2635,835,,85.35156 
2636,836,,90.03906 
2637,837,,89.06250 
2638,838,,85.54688 
2639,839,,85.54688 
2640,840,,83.00781 
2641,841,,84.76563 
2642,842,,86.91406 
2643,843,,86.13281 
2644,844,,86.52344 
2645,845,,86.32813 
2646,846,,88.08594 
2647,847,,87.89063 
2648,848,,87.50000 
2649,849,,89.64844 
2650,850,,88.08594 
2651,851,,88.67188 
2652,852,,87.50000 
2653,853,,85.15625 
2654,854,,89.64844 
2655,855,,86.13281 
2656,856,,87.10938 
2657,857,,88.08594 
2658,858,,90.82031 
2659,859,,90.42969 
2660,860,,90.42969 
2661,861,,89.64844 
2662,862,,89.06250 
2663,863,,87.69531 
2664,864,,85.74219 
2665,865,,85.74219 
2666,866,,85.93750 
2667,867,,89.06250 
2668,868,,90.62500 
2669,869,,89.25781 
2670,870,,88.28125 
2671,871,,88.28125 
2672,872,,91.21094 
2673,873,,88.67188 
2674,874,,91.40625 
2675,875,,86.91406 
2676,876,,91.40625 
2677,877,,89.25781 
2678,878,,88.08594 
2679,879,,89.84375 
2680,880,,87.50000 
2681,881,,86.91406 
2682,882,,89.25781 
2683,883,,86.52344 
2684,884,,89.25781 
2685,885,,87.10938 
2686,886,,91.99219 
2687,887,,87.89063 
2688,888,,91.21094 
2689,889,,88.08594 
2690,890,,89.45313 
2691,891,,90.62500 
2692,892,,90.62500 
2693,893,,88.86719 
2694,894,,85.93750 
2695,895,,88.08594 
2696,896,,91.40625 
2697,897,,90.82031 
2698,898,,91.01563 
2699,899,,91.60156 
2700,900,,89.64844 
2701,901,,88.28125 
2702,902,,90.82031 
2703,903,,87.30469 
2704,904,,86.91406 
2705,905,,87.89063 
2706,906,,87.89063 
2707,907,,87.50000 
2708,908,,87.69531 
2709,909,,83.39844 
2710,910,,87.50000 
2711,911,,87.10938 
2712,912,,89.25781 
2713,913,,91.40625 
2714,914,,90.03906 
2715,915,,90.42969 
2716,916,,91.60156 
2717,917,,91.01563 
2718,918,,87.50000 
2719,919,,87.50000 
2720,920,,87.69531 
2721,921,,89.84375 
2722,922,,86.91406 
2723,923,,90.03906 
2724,924,,80.07813 
2725,925,,86.91406 
2726,926,,89.25781 
2727,927,,86.32813 
2728,928,,88.67188 
2729,929,,89.84375 
2730,930,,89.64844 
2731,931,,86.52344 
2732,932,,87.10938 
2733,933,,89.06250 
2734,934,,90.42969 
2735,935,,91.21094 
2736,936,,89.06250 
2737,937,,86.91406 
2738,938,,82.61719 
2739,939,,85.93750 
2740,940,,88.28125 
2741,941,,84.17969 
2742,942,,87.30469 
2743,943,,89.45313 
2744,944,,86.32813 
2745,945,,87.30469 
2746,946,,91.60156 
2747,947,,90.62500 
2748,948,,88.67188 
2749,949,,90.82031 
2750,950,,84.76563 
2751,951,,85.74219 
2752,952,,87.10938 
2753,953,,89.45313 
2754,954,,89.45313 
2755,955,,88.47656 
2756,956,,87.30469 
2757,957,,86.71875 
2758,958,,85.15625 
2759,959,,87.10938 
2760,960,,87.50000 
2761,961,,89.25781 
2762,962,,86.52344 
2763,963,,86.52344 
2764,964,,87.69531 
2765,965,,87.50000 
2766,966,,88.08594 
2767,967,,91.40625 
2768,968,,88.67188 
2769,969,,90.42969 
2770,970,,88.67188 
2771,971,,88.67188 
2772,972,,86.91406 
2773,973,,86.71875 
2774,974,,89.25781 
2775,975,,88.47656 
2776,976,,87.10938 
2777,977,,87.30469 
2778,978,,88.67188 
2779,979,,88.47656 
2780,980,,87.69531 
2781,981,,88.67188 
2782,982,,87.30469 
2783,983,,87.30469 
2784,984,,88.86719 
2785,985,,85.54688 
2786,986,,85.15625 
2787,987,,80.07813 
2788,988,,84.96094 
2789,989,,89.84375 
2790,990,,84.57031 
2791,991,,86.52344 
2792,992,,87.10938 
2793,993,,91.60156 
2794,994,,88.28125 
2795,995,,89.84375 
2796,996,,89.64844 
2797,997,,83.98438 
2798,998,,86.71875 
2799,999,,86.32813 
2800,1000,,85.54688 
2801,1001,,86.13281 
2802,1002,,84.76563 
2803,1003,,87.10938 
2804,1004,,87.89063 
2805,1005,,85.74219 
2806,1006,,83.98438 
2807,1007,,88.47656 
2808,1008,,85.54688 
2809,1009,,85.74219 
2810,1010,,84.17969 
2811,1011,,86.91406 
2812,1012,,87.10938 
2813,1013,,85.15625 
2814,1014,,91.60156 
2815,1015,,85.74219 
2816,1016,,90.82031 
2817,1017,,87.89063 
2818,1018,,89.25781 
2819,1019,,86.71875 
2820,1020,,85.93750 
2821,1021,,87.50000 
2822,1022,,88.67188 
2823,1023,,88.28125 
2824,1024,,88.47656 
2825,1025,,86.91406 
2826,1026,,87.50000 
2827,1027,,87.89063 
2828,1028,,87.89063 
2829,1029,,87.30469 
2830,1030,,81.83594 
2831,1031,,87.10938 
2832,1032,,86.71875 
2833,1033,,84.17969 
2834,1034,,83.59375 
2835,1035,,90.42969 
2836,1036,,87.50000 
2837,1037,,87.89063 
2838,1038,,91.01563 
2839,1039,,87.50000 
2840,1040,,86.91406 
2841,1041,,88.28125 
2842,1042,,87.30469 
2843,1043,,87.10938 
2844,1044,,87.50000 
2845,1045,,85.74219 
2846,1046,,88.08594 
2847,1047,,87.30469 
2848,1048,,88.08594 
2849,1049,,88.28125 
2850,1050,,87.69531 
2851,1051,,85.15625 
2852,1052,,86.71875 
2853,1053,,88.86719 
2854,1054,,87.89063 
2855,1055,,86.52344 
2856,1056,,85.93750 
2857,1057,,87.69531 
2858,1058,,88.47656 
2859,1059,,88.08594 
2860,1060,,86.32813 
2861,1061,,89.64844 
2862,1062,,92.57813 
2863,1063,,89.45313 
2864,1064,,86.52344 
2865,1065,,86.32813 
2866,1066,,89.06250 
2867,1067,,88.08594 
2868,1068,,90.23438 
2869,1069,,87.30469 
2870,1070,,88.08594 
2871,1071,,87.10938 
2872,1072,,88.86719 
2873,1073,,88.47656 
2874,1074,,85.54688 
2875,1075,,86.91406 
2876,1076,,88.67188 
2877,1077,,87.89063 
2878,1078,,88.86719 
2879,1079,,90.23438 
2880,1080,,88.47656 
2881,1081,,91.01563 
2882,1082,,87.69531 
2883,1083,,85.74219 
2884,1084,,88.08594 
2885,1085,,86.91406 
2886,1086,,85.93750 
2887,1087,,88.67188 
2888,1088,,89.25781 
2889,1089,,88.67188 
2890,1090,,88.47656 
2891,1091,,87.50000 
2892,1092,,84.96094 
2893,1093,,85.93750 
2894,1094,,86.91406 
2895,1095,,89.06250 
2896,1096,,87.30469 
2897,1097,,87.10938 
2898,1098,,89.84375 
2899,1099,,91.40625 
2900,1100,,86.71875 
2901,1101,,87.10938 
2902,1102,,88.86719 
2903,1103,,86.71875 
2904,1104,,86.52344 
2905,1105,,90.03906 
2906,1106,,87.69531 
2907,1107,,87.50000 
2908,1108,,88.47656 
2909,1109,,87.89063 
2910,1110,,87.89063 
2911,1111,,86.71875 
2912,1112,,86.52344 
2913,1113,,87.89063 
2914,1114,,89.84375 
2915,1115,,88.47656 
2916,1116,,88.28125 
2917,1117,,86.52344 
2918,1118,,88.47656 
2919,1119,,88.08594 
2920,1120,,85.15625 
2921,1121,,88.28125 
2922,1122,,88.28125 
2923,1123,,88.28125 
2924,1124,,91.40625 
2925,1125,,88.08594 
2926,1126,,88.28125 
2927,1127,,88.67188 
2928,1128,,84.96094 
2929,1129,,88.47656 
2930,1130,,87.50000 
2931,1131,,86.71875 
2932,1132,,89.64844 
2933,1133,,91.01563 
2934,1134,,90.42969 
2935,1135,,88.08594 
2936,1136,,86.91406 
2937,1137,,88.86719 
2938,1138,,87.69531 
2939,1139,,87.10938 
2940,1140,,90.23438 
2941,1141,,88.67188 
2942,1142,,88.47656 
2943,1143,,88.08594 
2944,1144,,87.30469 
2945,1145,,80.27344 
2946,1146,,84.17969 
2947,1147,,86.91406 
2948,1148,,85.15625 
2949,1149,,90.23438 
2950,1150,,88.47656 
2951,1151,,88.47656 
2952,1152,,88.86719 
2953,1153,,88.86719 
2954,1154,,86.71875 
2955,1155,,88.86719 
2956,1156,,88.86719 
2957,1157,,83.78906 
2958,1158,,88.28125 
2959,1159,,88.86719 
2960,1160,,88.67188 
2961,1161,,87.10938 
2962,1162,,87.69531 
2963,1163,,87.50000 
2964,1164,,88.47656 
2965,1165,,88.28125 
2966,1166,,87.89063 
2967,1167,,88.67188 
2968,1168,,90.62500 
2969,1169,,91.79688 
2970,1170,,85.93750 
2971,1171,,87.89063 
2972,1172,,88.28125 
2973,1173,,89.25781 
2974,1174,,90.82031 
2975,1175,,91.01563 
2976,1176,,87.30469 
2977,1177,,88.28125 
2978,1178,,85.15625 
2979,1179,,88.67188 
2980,1180,,88.08594 
2981,1181,,90.23438 
2982,1182,,87.30469 
2983,1183,,87.50000 
2984,1184,,87.89063 
2985,1185,,91.21094 
2986,1186,,88.67188 
2987,1187,,87.89063 
2988,1188,,89.45313 
2989,1189,,89.45313 
2990,1190,,86.13281 
2991,1191,,88.47656 
2992,1192,,87.50000 
2993,1193,,86.91406 
2994,1194,,89.84375 
2995,1195,,87.69531 
2996,1196,,90.62500 
2997,1197,,88.67188 
2998,1198,,86.71875 
2999,1199,,85.74219 
3000,1200,,90.82031 
3001,1201,,89.45313 
3002,1202,,89.84375 
3003,1203,,90.42969 
3004,1204,,90.23438 
3005,1205,,89.25781 
3006,1206,,91.99219 
3007,1207,,90.82031 
3008,1208,,89.06250 
3009,1209,,88.47656 
3010,1210,,88.86719 
3011,1211,,88.08594 
3012,1212,,88.08594 
3013,1213,,88.28125 
3014,1214,,88.08594 
3015,1215,,91.21094 
3016,1216,,88.28125 
3017,1217,,87.89063 
3018,1218,,89.45313 
3019,1219,,88.67188 
3020,1220,,88.67188 
3021,1221,,87.89063 
3022,1222,,91.01563 
3023,1223,,88.67188 
3024,1224,,85.93750 
3025,1225,,81.64063 
3026,1226,,87.69531 
3027,1227,,89.84375 
3028,1228,,88.08594 
3029,1229,,88.86719 
3030,1230,,86.52344 
3031,1231,,90.42969 
3032,1232,,90.42969 
3033,1233,,90.23438 
3034,1234,,91.60156 
3035,1235,,87.10938 
3036,1236,,86.32813 
3037,1237,,86.32813 
3038,1238,,89.45313 
3039,1239,,87.50000 
3040,1240,,83.00781 
3041,1241,,87.10938 
3042,1242,,87.50000 
3043,1243,,90.23438 
3044,1244,,88.47656 
3045,1245,,89.06250 
3046,1246,,89.25781 
3047,1247,,93.16406 
3048,1248,,90.42969 
3049,1249,,89.06250 
3050,1250,,86.71875 
3051,1251,,87.50000 
3052,1252,,89.25781 
3053,1253,,89.84375 
3054,1254,,87.30469 
3055,1255,,86.91406 
3056,1256,,88.67188 
3057,1257,,88.08594 
3058,1258,,87.30469 
3059,1259,,90.82031 
3060,1260,,88.86719 
3061,1261,,87.50000 
3062,1262,,87.50000 
3063,1263,,88.47656 
3064,1264,,87.50000 
3065,1265,,85.35156 
3066,1266,,86.13281 
3067,1267,,86.91406 
3068,1268,,87.69531 
3069,1269,,86.71875 
3070,1270,,88.08594 
3071,1271,,88.86719 
3072,1272,,85.54688 
3073,1273,,85.93750 
3074,1274,,89.45313 
3075,1275,,87.89063 
3076,1276,,87.89063 
3077,1277,,90.42969 
3078,1278,,85.74219 
3079,1279,,86.52344 
3080,1280,,86.91406 
3081,1281,,88.67188 
3082,1282,,86.91406 
3083,1283,,90.03906 
3084,1284,,87.50000 
3085,1285,,88.67188 
3086,1286,,88.28125 
3087,1287,,89.84375 
3088,1288,,84.57031 
3089,1289,,85.74219 
3090,1290,,86.32813 
3091,1291,,90.42969 
3092,1292,,88.47656 
3093,1293,,88.28125 
3094,1294,,87.50000 
3095,1295,,87.89063 
3096,1296,,86.13281 
3097,1297,,88.08594 
3098,1298,,89.84375 
3099,1299,,89.45313 
3100,1300,,90.42969 
3101,1301,,89.64844 
3102,1302,,87.10938 
3103,1303,,86.71875 
3104,1304,,86.52344 
3105,1305,,85.74219 
3106,1306,,88.47656 
3107,1307,,85.74219 
3108,1308,,84.76563 
3109,1309,,85.93750 
3110,1310,,84.57031 
3111,1311,,90.62500 
