epoch,epochs,patchedCifar10(no denfence)Local_backdoor_cv_cifar10_resnet_snorm0.2_Baseline_Lr0.001_PLr0.02_TLr0.2_AttackNum200_EC0_SE1801_AllLayer1 - benign test acc (after fedavg),poisonedCifar10(no defence)_Local_backdoor_cv_cifar10_resnet_snorm0.2_Baseline_Lr0.001_PLr0.003_TLr0.2_AttackNum250_EC0_SE1801_AllLayer1 - benign test acc (after fedavg),cleanCifar10_pretraining1800(续训比较CAD)Local_backdoor_cv_cifar10_resnet_snorm1_without_attack_Lr0.001_TLr0.2_EC0_SE1801_noniid_0.9 - benign test acc (after fedavg)
2344,543,87.23,86.72,
2345,544,87.15,86.89,
2346,545,87.17,86.65,
2347,546,87.12,86.77,
2348,547,86.87,86.64,
2349,548,87.19,86.79,
2350,549,87.2,86.87,
2351,550,87.12,86.7,
2352,551,87.18,86.77,
2353,552,87.03,86.8,
2354,553,86.88,86.73,
2355,554,87.04,86.93,
2356,555,87.32,86.9,
2357,556,87.24,86.29,
2358,557,87.15,86.91,
2359,558,87.08,86.57,
2360,559,87.06,86.75,
2361,560,87.02,86.73,
2362,561,87.1,86.84,
2363,562,87.24,86.79,
2364,563,86.99,86.91,
2365,564,87.21,87.01,
2366,565,86.9,87.01,
2367,566,87.08,87.05,
2368,567,87.01,86.76,
2369,568,87.08,86.82,
2370,569,87.3,86.74,
2371,570,87.23,86.79,
2372,571,87.28,86.95,
2373,572,87.09,87.01,
2374,573,87.1,86.71,
2375,574,86.93,86.89,
2376,575,87.25,86.87,
2377,576,87.09,86.61,
2378,577,87.23,86.85,
2379,578,87.33,87.07,
2380,579,87.16,86.98,
2381,580,87.29,86.63,
2382,581,87.24,86.82,
2383,582,86.98,86.88,
2384,583,86.86,86.87,
2385,584,87.16,87.09,
2386,585,87.08,87.06,
2387,586,87.08,87.02,
2388,587,86.94,86.86,
2389,588,87.04,86.84,
2390,589,87.07,86.94,
2391,590,87.2,86.85,
2392,591,87.07,86.87,
2393,592,87.19,86.91,
2394,593,87.37,86.88,
2395,594,87.04,86.9,
2396,595,87.12,86.95,
2397,596,87.31,86.88,
2398,597,87.24,86.9,
2399,598,87.2,87.01,
2400,599,87.14,87.03,
2401,600,87.35,87,
2402,601,87.06,87.02,
2403,602,87.21,86.92,
2404,603,87.18,86.99,
2405,604,87.14,86.99,
2406,605,87.27,86.91,
2407,606,87.1,86.76,
2408,607,87.28,86.91,
2409,608,87.16,86.97,
2410,609,87.18,86.95,
2411,610,87.28,86.8,
2412,611,87.08,86.55,
2413,612,87.32,86.92,
2414,613,87.25,86.9,
2415,614,87.36,86.95,
2416,615,87.01,86.76,
2417,616,87.13,86.83,
2418,617,87.07,86.85,
2419,618,87.27,86.79,
2420,619,87.22,87.02,
2421,620,87.32,86.91,
2422,621,87.17,86.99,
2423,622,87.01,87.18,
2424,623,87.12,87.03,
2425,624,87.17,86.49,
2426,625,87.27,87.01,
2427,626,87.14,87.07,
2428,627,87.14,86.92,
2429,628,87.28,86.99,
2430,629,87.32,86.84,
2431,630,87.05,86.79,
2432,631,87.07,86.98,
2433,632,87.35,86.96,
2434,633,87.21,87.14,
2435,634,87.3,86.92,
2436,635,87.29,86.9,
2437,636,87.01,86.77,
2438,637,87.42,86.96,
2439,638,87.1,86.96,
2440,639,87.16,86.89,
2441,640,87.24,87.1,
2442,641,87.26,87.05,
2443,642,87.21,87.06,
2444,643,87.25,87.08,
2445,644,87.12,86.87,
2446,645,87.15,86.86,
2447,646,87.11,87.02,
2448,647,87.21,86.81,
2449,648,87.24,86.88,
2450,649,87.28,86.94,
2451,650,87.3,86.93,
2452,651,87.26,86.98,
2453,652,87.2,86.81,
2454,653,87.12,86.91,
2455,654,87.16,86.96,
2456,655,87.28,86.87,
2457,656,87.04,86.86,
2458,657,87.33,86.89,
2459,658,87.35,87.16,
2460,659,87.35,86.96,
2461,660,87.02,87.07,
2462,661,87.19,87.08,
2463,662,87.24,86.87,
2464,663,87.18,87.04,
2465,664,87.24,87.18,
2466,665,87.02,86.93,
2467,666,87.28,87.09,
2468,667,87.12,87.14,
2469,668,87.09,86.71,
2470,669,87.25,86.82,
2471,670,87.35,86.97,
2472,671,87.15,86.72,
2473,672,87.27,87.1,
2474,673,87.19,87.04,
2475,674,87.26,87.07,
2476,675,87.23,86.94,
2477,676,87.16,87.06,
2478,677,87.17,86.96,
2479,678,87.2,86.94,
2480,679,87.28,86.88,
2481,680,87.41,86.89,
2482,681,87.38,87.07,
2483,682,87.39,87.03,
2484,683,87.42,87.19,
2485,684,87.16,87.12,
2486,685,87.33,86.98,
2487,686,87.24,86.66,
2488,687,87.3,86.91,
2489,688,87.21,87.15,
2490,689,87.23,87.09,
2491,690,87.26,86.93,
2492,691,87.22,86.89,
2493,692,87.28,87.04,
2494,693,87.26,86.86,
2495,694,87.25,86.84,
2496,695,87.1,87.07,
2497,696,87.32,86.96,
2498,697,87.13,87.31,
2499,698,87.1,87.05,
2500,699,87.33,87.15,
2501,700,87.34,86.86,
2502,701,87.31,87.1,
2503,702,87.35,86.74,
2504,703,87.14,86.83,
2505,704,87.09,86.95,
2506,705,87.12,87.13,
2507,706,87.22,86.72,
2508,707,87.35,86.63,
2509,708,87.2,86.86,
2510,709,87.21,86.93,
2511,710,87.24,87.13,
2512,711,87.32,86.82,
2513,712,87.27,86.84,
2514,713,87.29,86.96,
2515,714,87.36,86.82,
2516,715,87.06,86.97,
2517,716,87.22,87.14,
2518,717,87.35,87.05,
2519,718,87.34,87.09,
2520,719,87.18,87.07,
2521,720,87.31,87.15,
2522,721,87.31,87.1,
2523,722,87.44,87.03,
2524,723,87.37,87.16,
2525,724,87.27,87.03,
2526,725,87.26,86.99,
2527,726,87.19,87.08,
2528,727,87.22,87.26,
2529,728,87.3,86.95,
2530,729,87.28,87.17,
2531,730,87.32,87.01,
2532,731,87.44,87.02,
2533,732,87.44,86.89,
2534,733,87.32,86.88,
2535,734,87.38,86.93,
2536,735,87.18,87.18,
2537,736,87.23,86.97,
2538,737,87.16,87.22,
2539,738,87.39,87.04,
2540,739,87.38,87.02,
2541,740,87.48,86.86,
2542,741,87.37,87.01,
2543,742,87.28,87.05,
2544,743,87.39,86.91,
2545,744,87.25,86.85,
2546,745,87.24,86.95,
2547,746,87.25,87.21,
2548,747,87.34,87.03,
2549,748,87.13,86.97,
2550,749,87.2,86.9,
2551,750,87.3,87.13,
2552,751,87.13,87.09,
2553,752,87.37,86.99,
2554,753,87.38,87.02,
2555,754,87.26,86.97,
2556,755,87.17,86.99,
2557,756,87.24,86.81,
2558,757,87.2,87.17,
2559,758,87.27,86.99,
2560,759,87.26,87.06,
2561,760,87.09,87.05,
2562,761,87.34,87.16,
2563,762,87.5,87.08,
2564,763,87.31,87.13,
2565,764,87.4,86.97,
2566,765,87.36,86.73,
2567,766,87.18,86.99,
2568,767,87.2,86.79,
2569,768,87.35,86.94,
2570,769,87.24,86.9,
2571,770,87.34,87.12,
2572,771,87.26,87.01,
2573,772,87.65,87.13,
2574,773,87.31,86.99,
2575,774,87.3,87.06,
2576,775,87.29,87.18,
2577,776,87.39,87.29,
2578,777,87.28,86.99,
2579,778,87.35,87.05,
2580,779,87.17,87.05,
2581,780,87.15,87.09,
2582,781,87.4,86.96,
2583,782,87.28,87.05,
2584,783,87.12,87.03,
2585,784,87.2,87.07,
2586,785,87.46,87.05,
2587,786,87.08,87.24,
2588,787,87.16,87.08,
2589,788,87.28,86.99,
2590,789,87.14,87,
2591,790,87.23,87,
2592,791,87.27,87.02,
2593,792,87.29,87.18,
2594,793,87.36,87.16,
2595,794,87.39,87.03,
2596,795,87.28,86.93,
2597,796,87.32,87.08,
2598,797,87.33,86.99,
2599,798,87.41,86.9,
2600,799,87.33,87.02,
2601,800,87.3,87.14,
2602,801,87.15,86.99,
2603,802,87.27,87.25,
2604,803,87.45,87.03,
2605,804,87.41,86.92,
2606,805,87.4,87.2,
2607,806,87.47,87.13,
2608,807,87.42,87.11,
2609,808,87.25,87.12,
2610,809,87.5,87.09,
2611,810,87.34,86.93,
2612,811,87.44,86.94,
2613,812,87.26,87.02,
2614,813,87.09,87.05,
2615,814,87.14,87.1,
2616,815,87.49,87.13,
2617,816,87.25,87.13,
2618,817,87.38,87.07,
2619,818,87.43,86.8,
2620,819,87.33,87.03,
2621,820,87.32,87.05,
2622,821,87.37,87.16,
2623,822,87.42,87.13,
2624,823,87.42,87.05,
2625,824,86.98,87.06,
2626,825,87.23,86.95,
2627,826,87.22,86.98,
2628,827,87.4,87.08,
2629,828,87.49,87.04,
2630,829,,87.09,
2631,830,,86.96,
2632,831,,87.12,
2633,832,,87.13,
2634,833,,87.08,
2635,834,,87.07,
2636,835,,86.78,
2637,836,,87.05,
2638,837,,87.01,
2639,838,,86.9,
2640,839,,86.93,
2641,840,,87.01,
2642,841,,86.78,
2643,842,,86.91,
2644,843,,87.16,
2645,844,,86.98,
2646,845,,87.1,
2647,846,,87,
2648,847,,87.18,
2649,848,,87.16,
2650,849,,87.12,
2651,850,,87.05,
2652,851,,87.08,
2653,852,,87.21,
2654,853,,87.14,
2655,854,,87.15,
2656,855,,87.09,
2657,856,,87.08,
2658,857,,87.17,
2659,858,,87.1,
2660,859,,87.01,
2661,860,,87.05,
2662,861,,87.14,
2663,862,,87.12,
2664,863,,87.12,
2665,864,,86.96,
2666,865,,87.06,
2667,866,,87.12,
2668,867,,86.91,
2669,868,,86.83,
2670,869,,87,
2671,870,,87.13,
2672,871,,87.14,
2673,872,,87.16,
2674,873,,86.93,
2675,874,,86.85,
2676,875,,87.22,
2677,876,,87.25,
2678,877,,87.22,
2679,878,,87.03,
2680,879,,87.26,
2681,880,,87.13,
2682,881,,87.31,
2683,882,,87.1,
2684,883,,87.05,
2685,884,,87.11,
2686,885,,87.27,
2687,886,,87.06,
2688,887,,87.19,
2689,888,,87.11,
2690,889,,87.03,
2691,890,,87.15,
2692,891,,87.15,
2693,892,,87.08,
2694,893,,86.81,
2695,894,,87.01,
2696,895,,87.11,
2697,896,,87.21,
2698,897,,87.17,
2699,898,,87,
2700,899,,87.15,
2701,900,,87.03,
2702,901,,87.18,
2703,902,,87.24,
2704,903,,87.14,
2705,904,,87.1,
2706,905,,87.13,
2707,906,,87.17,
2708,907,,87.16,
2709,908,,87.11,
2710,909,,87.21,
2711,910,,87.15,
2712,911,,87.14,
2713,912,,87.13,
2714,913,,87.1,
2715,914,,87.05,
2716,915,,86.95,
2717,916,,87.03,
2718,917,,87.17,
2719,918,,86.92,
2720,919,,87.17,
2721,920,,87.28,
2722,921,,87.19,
2723,922,,87.36,
2724,923,,87.08,
2725,924,,87.2,
2726,925,,87.1,
2727,926,,87.1,
2728,927,,87.19,
2729,928,,87.02,
2730,929,,87.1,
2731,930,,86.92,
2732,931,,87.06,
2733,932,,87.2,
2734,933,,87.17,
2735,934,,87,
2736,935,,87.15,
2737,936,,87.07,
2738,937,,86.89,
2739,938,,87.01,
2740,939,,87.24,
2741,940,,87.18,
2742,941,,87.14,
2743,942,,87.16,
2744,943,,87.31,
2745,944,,86.98,
2746,945,,87.2,
2747,946,,87.16,
2748,947,,87.26,
2749,948,,87.26,
2750,949,,87.07,
2751,950,,87.09,
2752,951,,87.21,
2753,952,,87.2,
2754,953,,87.08,
2755,954,,87.09,
2756,955,,87.28,
2757,956,,87.17,
2758,957,,86.97,
2759,958,,87.1,
2760,959,,87.09,
2761,960,,87.19,
2762,961,,87.27,
2763,962,,87.08,
2764,963,,87.06,
2765,964,,87.18,
2766,965,,87.1,
2767,966,,87.05,
2768,967,,87.18,
2769,968,,87.22,
2770,969,,87.17,
2771,970,,87.34,
2772,971,,87.24,
2773,972,,87.09,
2774,973,,87.14,
2775,974,,86.99,
2776,975,,87.1,
2777,976,,87.15,
2778,977,,86.93,
2779,978,,87,
2780,979,,87.11,
2781,980,,87.28,
2782,981,,86.93,
2783,982,,87.19,
2784,983,,87.26,
2785,984,,87.14,
2786,985,,87.01,
2787,986,,86.64,
2788,987,,87.05,
2789,988,,87.13,
2790,989,,87.07,
2791,990,,87.14,
2792,991,,87.14,
2793,992,,87.14,
2794,993,,86.94,
2795,994,,87.09,
2796,995,,87.2,
2797,996,,87.06,
2798,997,,87.05,
2799,998,,87,
2800,999,,87.04,
2801,1000,,87.19,
2802,1001,,87.18,
2803,1002,,87.36,
2804,1003,,87.13,
2805,1004,,87.19,
2806,1005,,87.26,
2807,1006,,87.26,
2808,1007,,87.09,
2809,1008,,87.11,
2810,1009,,87.07,
2811,1010,,87.17,
2812,1011,,86.95,
2813,1012,,87.13,
2814,1013,,87.34,
2815,1014,,87.26,
2816,1015,,87.45,
2817,1016,,87.22,
2818,1017,,86.98,
2819,1018,,87.19,
2820,1019,,87.17,
2821,1020,,87.11,
2822,1021,,87.14,
2823,1022,,87.07,
2824,1023,,87.33,
2825,1024,,87.42,
2826,1025,,87.33,
2827,1026,,87.33,
2828,1027,,87.19,
2829,1028,,87.2,
2830,1029,,86.85,
2831,1030,,87.05,
2832,1031,,87.19,
2833,1032,,87.26,
2834,1033,,87.22,
2835,1034,,87.37,
2836,1035,,87.16,
2837,1036,,87.3,
2838,1037,,87.15,
2839,1038,,87.19,
2840,1039,,87.24,
2841,1040,,87.35,
2842,1041,,87.12,
2843,1042,,87.18,
2844,1043,,87.38,
2845,1044,,87.11,
2846,1045,,87.04,
2847,1046,,87.02,
2848,1047,,87.22,
2849,1048,,87.24,
2850,1049,,87.1,
2851,1050,,87.31,
2852,1051,,87.2,
2853,1052,,87.24,
2854,1053,,87.15,
2855,1054,,87.11,
2856,1055,,86.83,
2857,1056,,87.21,
2858,1057,,87.19,
2859,1058,,86.88,
2860,1059,,87.09,
2861,1060,,87.19,
2862,1061,,87.4,
2863,1062,,87.17,
2864,1063,,87.14,
2865,1064,,87.11,
2866,1065,,87.04,
2867,1066,,87.18,
2868,1067,,87.11,
2869,1068,,87.21,
2870,1069,,87.22,
2871,1070,,87.32,
2872,1071,,87.28,
2873,1072,,87.08,
2874,1073,,87.31,
2875,1074,,87.23,
2876,1075,,87.35,
2877,1076,,87.22,
2878,1077,,87.16,
2879,1078,,87.21,
2880,1079,,87.27,
2881,1080,,87.3,
2882,1081,,87.15,
2883,1082,,87.13,
2884,1083,,86.8,
2885,1084,,87.28,
2886,1085,,87.34,
2887,1086,,87.32,
2888,1087,,87.1,
2889,1088,,87.3,
2890,1089,,87.33,
2891,1090,,87.24,
2892,1091,,87.11,
2893,1092,,87.12,
2894,1093,,86.82,
2895,1094,,87.08,
2896,1095,,87.19,
2897,1096,,87.21,
2898,1097,,87.22,
2899,1098,,87.17,
2900,1099,,87.24,
2901,1100,,87.2,
2902,1101,,87.24,
2903,1102,,87.22,
2904,1103,,87.31,
2905,1104,,87.2,
2906,1105,,87.21,
2907,1106,,86.9,
2908,1107,,87.04,
2909,1108,,87.28,
2910,1109,,87.16,
2911,1110,,87.23,
2912,1111,,87.07,
2913,1112,,87.36,
2914,1113,,87.29,
2915,1114,,87.25,
2916,1115,,87.41,
2917,1116,,87.13,
2918,1117,,87.08,
2919,1118,,87.33,
2920,1119,,87.19,
2921,1120,,87.36,
2922,1121,,87.33,
2923,1122,,87.02,
2924,1123,,86.98,
2925,1124,,87.2,
2926,1125,,87.26,
2927,1126,,87.29,
2928,1127,,87.07,
2929,1128,,87.27,
2930,1129,,87.13,
2931,1130,,87.08,
2932,1131,,87.29,
2933,1132,,87.21,
2934,1133,,87.25,
2935,1134,,87.31,
2936,1135,,87.06,
2937,1136,,87.28,
2938,1137,,87.29,
2939,1138,,87.32,
2940,1139,,87.26,
2941,1140,,87.29,
2942,1141,,87.45,
2943,1142,,87.35,
2944,1143,,87.18,
2945,1144,,86.96,
2946,1145,,86.95,
2947,1146,,87.29,
2948,1147,,87.14,
2949,1148,,87.11,
2950,1149,,87.06,
2951,1150,,87.18,
2952,1151,,87.08,
2953,1152,,87.19,
2954,1153,,87.17,
2955,1154,,87.08,
2956,1155,,86.81,
2957,1156,,87.02,
2958,1157,,86.62,
2959,1158,,87.12,
2960,1159,,87.27,
2961,1160,,87.21,
2962,1161,,87.13,
2963,1162,,87.06,
2964,1163,,87.22,
2965,1164,,87.36,
2966,1165,,87.24,
2967,1166,,87.23,
2968,1167,,87.25,
2969,1168,,87.19,
2970,1169,,87.08,
2971,1170,,87.24,
2972,1171,,87.34,
2973,1172,,87.36,
2974,1173,,87.3,
2975,1174,,86.97,
2976,1175,,87.08,
2977,1176,,86.92,
2978,1177,,87,
2979,1178,,87.1,
2980,1179,,87.42,
2981,1180,,87.23,
2982,1181,,87.15,
2983,1182,,87.21,
2984,1183,,87.27,
2985,1184,,86.94,
2986,1185,,87.2,
2987,1186,,87.41,
2988,1187,,87.27,
2989,1188,,87.2,
2990,1189,,87.19,
2991,1190,,87.32,
2992,1191,,87.19,
2993,1192,,87.26,
2994,1193,,86.94,
2995,1194,,87.36,
2996,1195,,87.22,
2997,1196,,87.28,
2998,1197,,87.22,
2999,1198,,87.06,
3000,1199,,87.19,
3001,1200,,87.25,
3002,1201,,87.4,
3003,1202,,87.21,
3004,1203,,87.29,
3005,1204,,87.25,
3006,1205,,86.98,
3007,1206,,87.1,
3008,1207,,87.06,
3009,1208,,87.09,
3010,1209,,87.21,
3011,1210,,87.18,
3012,1211,,87.06,
3013,1212,,87.02,
3014,1213,,87.15,
3015,1214,,87.3,
3016,1215,,86.99,
3017,1216,,87.24,
3018,1217,,87.2,
3019,1218,,87.14,
3020,1219,,87.07,
3021,1220,,87.18,
3022,1221,,87.01,
3023,1222,,87.31,
3024,1223,,87.19,
3025,1224,,87.06,
3026,1225,,87.26,
3027,1226,,87.45,
3028,1227,,87.47,
3029,1228,,87.27,
3030,1229,,87.13,
3031,1230,,87.13,
3032,1231,,87.24,
3033,1232,,87.52,
3034,1233,,87.11,
3035,1234,,87.34,
3036,1235,,87.06,
3037,1236,,87.05,
3038,1237,,87.16,
3039,1238,,87.24,
3040,1239,,87,
3041,1240,,87.16,
3042,1241,,87.2,
3043,1242,,87.1,
3044,1243,,87.24,
3045,1244,,87.44,
3046,1245,,87.21,
3047,1246,,87.29,
3048,1247,,87.36,
3049,1248,,87.32,
3050,1249,,87.23,
3051,1250,,87.26,
3052,1251,,87.3,
3053,1252,,87.17,
3054,1253,,87.14,
3055,1254,,87.33,
3056,1255,,87.35,
3057,1256,,87.22,
3058,1257,,87.3,
3059,1258,,87.4,
3060,1259,,87.4,
3061,1260,,87.33,
3062,1261,,87.16,
3063,1262,,87.07,
3064,1263,,87.34,
3065,1264,,87.36,
3066,1265,,87.27,
3067,1266,,87.36,
3068,1267,,87.22,
3069,1268,,87.31,
3070,1269,,87.17,
3071,1270,,87.13,
3072,1271,,87.32,
3073,1272,,87.25,
3074,1273,,87.43,
3075,1274,,87.44,
3076,1275,,87.34,
3077,1276,,87.1,
3078,1277,,87.22,
3079,1278,,87.32,
3080,1279,,87.31,
3081,1280,,87.41,
3082,1281,,87.04,
3083,1282,,87.1,
3084,1283,,87.31,
3085,1284,,87.24,
3086,1285,,87.4,
3087,1286,,87.5,
3088,1287,,87.21,
3089,1288,,87.11,
3090,1289,,87.19,
3091,1290,,87.29,
3092,1291,,87.26,
3093,1292,,87.42,
3094,1293,,87.43,
3095,1294,,87.35,
3096,1295,,87.14,
3097,1296,,87.34,
3098,1297,,87.3,
3099,1298,,87.24,
3100,1299,,87.26,
3101,1300,,87.43,
3102,1301,,87.48,
3103,1302,,87.29,
3104,1303,,87.37,
3105,1304,,87.18,
3106,1305,,87.1,
3107,1306,,87.2,
3108,1307,,87.17,
3109,1308,,86.97,
3110,1309,,87.19,
3111,1310,,87.39,
